Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,source,Note
NA,Eden-Monaro,NA,2020,278,"McBAIN,  Kristy",Labor,47835,735,50.39,-0.46,Elected,NA,NA
NA,Eden-Monaro,NA,2020,278,"KOTVOJS,  Fiona",Liberal,47100,-735,49.61,0.46,,NA,NA
NA,Groom,NA,2020,279,"HAMILTON,  Garth",Liberal National Party of Queensland,57875,29609,67.19,-3.29,Elected,NA,NA
NA,Groom,NA,2020,279,"MEIBUSCH,  Chris",Australian Labor Party,28266,-29609,32.81,3.29,,NA,NA
NA,Fremantle,NA,2018,273,"WILSON,  Josh",Australian Labor Party,46375,29507,73.33,73.33,Elected,NA,NA
NA,Fremantle,NA,2018,273,"GRAY,  John",Liberal Democrats,16868,-29507,26.67,26.67,,NA,NA
NA,Longman,NA,2018,274,"LAMB,  Susan",Australian Labor Party,48116,7864,54.45,3.66,Elected,NA,NA
NA,Longman,NA,2018,274,"RUTHENBERG,  Trevor",Liberal National Party of Queensland,40252,-7864,45.55,-3.66,,NA,NA
NA,Batman,NA,2018,271,"KEARNEY,  Ged",Australian Labor Party,46446,7488,54.38,3.35,Elected,NA,NA
NA,Batman,NA,2018,271,"BHATHAL,  Alex",The Greens,38958,-7488,45.62,-3.35,,NA,NA
NA,Braddon,NA,2018,272,"WHITELEY,  Brett",Liberal,29938,-2904,47.69,-0.11,,NA,NA
NA,Braddon,NA,2018,272,"KEAY,  Justine",Australian Labor Party,32842,2904,52.31,0.11,Elected,NA,NA
NA,Mayo,NA,2018,275,"DOWNER,  Georgina",Liberal,37687,-13355,42.47,-2.56,,NA,NA
NA,Mayo,NA,2018,275,"SHARKIE,  Rebekha",Centre Alliance,51042,13355,57.53,2.56,Elected,NA,NA
NA,Perth,NA,2018,276,"GORMAN,  Patrick",Australian Labor Party,36601,15198,63.1,63.1,Elected,NA,NA
NA,Perth,NA,2018,276,"PERKS,  Caroline",The Greens (WA),21403,-15198,36.9,36.9,,NA,NA
NA,Wentworth,NA,2018,277,"SHARMA,  Dave",Liberal,37138,-1850,48.78,48.78,,NA,NA
NA,Wentworth,NA,2018,277,"PHELPS,  Kerryn",Independent,38988,1850,51.22,51.22,Elected,NA,NA
NA,New England,NA,2017,269,"JOYCE,  Barnaby",The Nationals,64664,41505,73.63,7.21,Elected,NA,NA
NA,New England,NA,2017,269,"EWINGS,  David",Labor,23159,-41505,26.37,-7.21,,NA,NA
NA,Bennelong,NA,2017,270,"ALEXANDER,  John",Liberal,46179,8213,54.88,-4.84,Elected,NA,NA
NA,Bennelong,NA,2017,270,"KENEALLY,  Kristina",Labor,37966,-8213,45.12,4.84,,NA,NA
NA,Canning,NA,2015,267,"HASTIE,  Andrew",Liberal,46772,8909,55.26,-6.55,Elected,NA,NA
NA,Canning,NA,2015,267,"KEOGH,  Matt",Australian Labor Party,37863,-8909,44.74,6.55,,NA,NA
NA,North Sydney,NA,2015,268,"ZIMMERMAN,  Trent",Liberal,45848,15575,60.23,60.23,Elected,NA,NA
NA,North Sydney,NA,2015,268,"RUFF,  Stephen",Independent,30273,-15575,39.77,39.77,,NA,NA
NA,Griffith,NA,2014,266,"BUTLER,  Terri",Australian Labor Party (State of Queensland),40229,2735,51.76,-1.25,Elected,NA,NA
NA,Griffith,NA,2014,266,"GLASSON,  Bill",Liberal National Party of Queensland,37494,-2735,48.24,1.25,,NA,NA
NA,Higgins,NA,2009,265,"O'DWYER,  Kelly",Liberal,40203,13659,60.23,60.23,Elected,NA,NA
NA,Higgins,NA,2009,265,"HAMILTON,  Clive",The Greens,26544,-13659,39.77,39.77,,NA,NA
NA,Bradfield,NA,2009,264,"GEMMELL,  Susie",The Greens,24831,-20886,35.2,35.2,,NA,NA
NA,Bradfield,NA,2009,264,"FLETCHER,  Paul William",Liberal,45717,20886,64.8,64.8,Elected,NA,NA
NA,Lyne,NA,2008,263,"OAKESHOTT,  Robert",Independent,54770,35393,73.87,73.87,Elected,NA,NA
NA,Lyne,NA,2008,263,"DREW,  Rob",Nationals,19377,-35393,26.13,26.13,,NA,NA
NA,Mayo,NA,2008,262,"VONOW,  Lynton",The Greens,34879,-4502,46.97,46.97,,NA,NA
NA,Mayo,NA,2008,262,"BRIGGS,  Jamie",Liberal,39381,4502,53.03,53.03,Elected,NA,NA
NA,Gippsland,NA,2008,261,"McCUBBIN,  Darren",Australian Labor Party,31641,-19970,38.01,-6.08,,NA,NA
NA,Gippsland,NA,2008,261,"CHESTER,  Darren",The Nationals,51611,19970,61.99,6.08,Elected,NA,NA
NA,Werriwa,NA,2005,391,"Young, James",Independent,20106,-26917,29.95,0,,NA,NA
NA,Werriwa,NA,2005,391,"HAYES, Chris",Labor,47023,26917,70.05,0,Elected,NA,NA
NA,Cunningham,NA,2002,298,"Organ, Michael",Greens,35160,2996,52.23,0,,NA,NA
NA,Cunningham,NA,2002,298,"Bird, Sharon",Labor,32164,-2996,47.77,0,Elected,NA,NA
NA,Aston,NA,2001,249,"Pearce, Chris",Lib,39299,908,50.58,-3.8,Elected,NA,NA
NA,Aston,NA,2001,249,"Boland, Kieran",Labor,38391,-908,49.42,3.8,,NA,NA
NA,Ryan,NA,2001,374,"Short, Leonie",Labor,37834,255,50.17,9.7,,NA,NA
NA,Ryan,NA,2001,374,"Tucker, Bob",Lib,37579,-255,49.83,-9.7,Elected,NA,NA
NA,Isaacs,NA,2000,339,"Fletcher, Haydn",Democrats,20718,-19557,33.97,0,,NA,NA
NA,Isaacs,NA,2000,339,"CORCORAN, Ann",Labor,40275,19557,66.03,0,Elected,NA,NA
NA,Holt,NA,1999,336,"Morgan, Polly",Democrats,20650,-32599,27.94,0,,NA,NA
NA,Holt,NA,1999,336,"BYRNE, Anthony",Labor,53249,32599,72.06,0,Elected,NA,NA
NA,Fraser,NA,1997,322,"Dargavel, Steve",Labor,34279,16018,65.24,0,Elected,NA,NA
NA,Fraser,NA,1997,322,"Hill, Cheryl",Independent,18261,-16018,34.76,0,,NA,NA
NA,Lindsay,NA,1996,348,"Kelly, Jackie",Liberal (1946-),38442,2354,26.48,0,Elected,NA,NA
