Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,Note,source
24373,Adelaide,SA,2019,403,"GEORGANAS, Steve",Labor,62362,17543,58.18,-0.12,Elected,NA,NA
24373,Adelaide,SA,2019,403,"OSBORN, Shaun",Liberal,44819,-17543,41.82,0.12,,NA,NA
24360,Aston,Vic,2019,403,"TUDGE, Alan",Liberal,60180,20270,60.13,2.72,Elected,NA,NA
24360,Aston,Vic,2019,403,"PETHIYAGODA, Kadira",Labor,39910,-20270,39.87,-2.72,,NA,NA
24359,Ballarat,Vic,2019,403,"VO, Tim",Liberal,40068,-22547,39.02,-3.62,,NA,NA
24359,Ballarat,Vic,2019,403,"KING, Catherine",Labor,62615,22547,60.98,3.62,Elected,NA,NA
24297,Banks,NSW,2019,403,"COLEMAN, David",Liberal,51609,11488,56.26,4.82,Elected,NA,NA
24297,Banks,NSW,2019,403,"GAMBIAN, Chris",Labor,40121,-11488,43.74,-4.82,,NA,NA
24372,Barker,SA,2019,403,"PASIN, Tony",Liberal,72851,40036,68.94,5.07,Elected,NA,NA
24372,Barker,SA,2019,403,"O'BRIEN, Mat",Labor,32815,-40036,31.06,-5.07,,NA,NA
24296,Barton,NSW,2019,403,"BURNEY, Linda",Labor,53418,16929,59.41,1.11,Elected,NA,NA
24296,Barton,NSW,2019,403,"SHRESTHA, Pramej",Liberal,36489,-16929,40.59,-1.11,,NA,NA
24364,Bass,Tas,2019,403,"HART, Ross",Labor,34085,-563,49.59,-5.83,,NA,NA
24364,Bass,Tas,2019,403,"ARCHER, Bridget",Liberal,34648,563,50.41,5.83,Elected,NA,NA
24345,Bean,ACT,2019,403,"COCKS, Ed",Liberal,39484,-13971,42.48,1.33,,NA,NA
24345,Bean,ACT,2019,403,"SMITH, David",Labor,53455,13971,57.52,-1.33,Elected,NA,NA
24374,Bendigo,Vic,2019,403,"CHESTERS, Lisa",Labor,60016,18371,59.04,5.17,Elected,NA,NA
24374,Bendigo,Vic,2019,403,"GAYED, Sam",Liberal,41645,-18371,40.96,-5.17,,NA,NA
24295,Bennelong,NSW,2019,403,"OWLER, Brian",Labor,41496,-13313,43.09,2.81,,NA,NA
24295,Bennelong,NSW,2019,403,"ALEXANDER, John",Liberal,54809,13313,56.91,-2.81,Elected,NA,NA
24294,Berowra,NSW,2019,403,"LEESER, Julian",Liberal,61675,29403,65.65,-0.8,Elected,NA,NA
24294,Berowra,NSW,2019,403,"GOMPERTZ, Katie",Labor,32272,-29403,34.35,0.8,,NA,NA
24250,Blair,Qld,2019,403,"NEUMANN, Shayne Kenneth",Labor,49123,2321,51.21,-6.93,Elected,NA,NA
24250,Blair,Qld,2019,403,"SHEARMAN, Robert",Liberal National Party of Queensland,46802,-2321,48.79,6.93,,NA,NA
24293,Blaxland,NSW,2019,403,"GUNEY, Oz",Liberal,28509,-23790,35.28,4.76,,NA,NA
24293,Blaxland,NSW,2019,403,"CLARE, Jason",Labor,52299,23790,64.72,-4.76,Elected,NA,NA
24249,Bonner,Qld,2019,403,"VASTA, Ross",Liberal National Party of Queensland,54072,13957,57.41,4.02,Elected,NA,NA
