Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,source,Note
240,Newcastle,NSW,1998,240,Allan Morris,Labor,"43,917",NA,67.33,6.14,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Newcastle,
240,Newcastle,NSW,1998,240,Carrie Jacobi,Greens,"21,306",NA,32.67,32.67,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Newcastle,
238,Moncrieff,Qld,1993,238,"Sullivan, Kathy",Liberal,"43,333",NA,62.41,-0.21,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Moncrieff,
238,Moncrieff,Qld,1993,238,"Brown, Bob",Labor,"26,101",NA,37.59,0.21,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Moncrieff,
237,Farrer,NSW,1990,237,"Fischer, Tim",National,"46,829",NA,67,-0.34,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Farrer,"Only two candidates, first preferences inputed"
237,Farrer,NSW,1990,237,"Higgins, Bill",Labor,"22,615",NA,32.57,0.34,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Farrer,"Only two candidates, first preferences inputed"
235,Holt,Vic,1984,235,"Duffy, Michael",Labor,"32,946",NA,62,-0.9,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Holt#Elections_in_the_1980s,
235,Holt,Vic,1984,235,"Ferwerda, John",Liberal,"20,034",NA,37.8,0.9,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Holt#Elections_in_the_1980s,
231,Ryan,Qld,1975,231,"Taylor, Colin",Labor,"24,072",NA,33.5,-6.9,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Ryan#Elections_in_the_1970s,
231,Ryan,Qld,1975,231,"Moore, John",Liberal,"47,835",NA,66.5,6.9,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Ryan#Elections_in_the_1970s,
225,Herbert,Qld,1961,225,"Harding, Ted",Labor,NA,NA,52.3,3.8,NA,https://en.wikipedia.org/wiki/Electoral_results_for_the_Division_of_Herbert#Elections_in_the_1960s,2cp estimated not counted
