Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,source,Note
108959,Canberra,ACT,2001,201,"BARNIER, Belinda",LP,40696,NA,40.56,0.62,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
108959,Canberra,ACT,2001,201,"ELLIS, Annette",ALP,59632,NA,59.44,-0.62,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
112225,Fraser,ACT,2001,201,"DUNN, Martin",LP,38184,NA,37.31,2.17,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
112225,Fraser,ACT,2001,201,"McMULLAN, Bob",ALP,64154,NA,62.69,-2.17,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83122,Banks,NSW,2001,201,"WATZLAFF, Marcus",LP,34702,NA,47.11,4.38,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83122,Banks,NSW,2001,201,"MELHAM, Daryl",ALP,38952,NA,52.89,-4.38,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84752,Barton,NSW,2001,201,"BRENNAN, Jan",LP,32873,NA,43.98,3.77,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84752,Barton,NSW,2001,201,"McCLELLAND, Robert",ALP,41873,NA,56.02,-3.77,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86896,Bennelong,NSW,2001,201,"CAMPBELL, Nicole",ALP,32877,NA,42.29,-2.48,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86896,Bennelong,NSW,2001,201,"HOWARD, John Winston",LP,44861,NA,57.71,2.48,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85766,Berowra,NSW,2001,201,"SLATER, Richard",ALP,26731,NA,34.35,-2.34,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85766,Berowra,NSW,2001,201,"RUDDOCK, Philip Maxwell",LP,51078,NA,65.65,2.34,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82779,Blaxland,NSW,2001,201,"HATTON, Michael",ALP,45725,NA,65.21,-6.5,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82779,Blaxland,NSW,2001,201,"OSMOND, Les",LP,24395,NA,34.79,6.5,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89832,Bradfield,NSW,2001,201,"BLUNT, Kathie",ALP,23493,NA,28.84,0.13,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89832,Bradfield,NSW,2001,201,"NELSON, Brendan",LP,57969,NA,71.16,-0.13,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
